Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Age 60+All,0.004651484,0.006074367,1.006065249,0.99061377,1.021758,0.000809212,0.00068603,1.01049351,0.993117049,1.028174,-0.000192545,0.000585404,0.996540189,0.976169672,1.017336,0.002092312,0.002780046,1.004613697,0.992642726,1.016729
Age 60+ Female,-0.001430734,0.007695736,0.998141774,0.978760122,1.017907,3.14E-05,0.000867361,1.000405194,0.978704771,1.022587,5.81E-05,0.000740281,1.001046416,0.975240428,1.027535,0.003919082,0.003508608,1.008659257,0.993513988,1.024035
Age 60+ Male,0.01351381,0.008803106,1.017723177,0.995149441,1.040809,0.00195147,0.00099734,1.025493503,0.999957219,1.051682,-0.000556374,0.000850736,0.990035248,0.960761867,1.020201,-0.000648811,0.004051829,0.998573634,0.981278593,1.016174
All: LAG 9,0.002210378,0.002586048,1.002877624,0.996291136,1.009508,0.000423296,0.000292314,1.005475454,0.998071513,1.012934,-0.000253921,0.000244941,0.995439851,0.9868748,1.004079,-0.000367008,0.001160513,0.999192908,0.994205305,1.004206
Female,0.006051912,0.003425943,1.007898516,0.999138554,1.016735,0.000713937,0.000386033,1.009252328,0.999449481,1.019151,-1.35E-05,0.000324354,0.999757728,0.9883825,1.011264,9.28E-05,0.001537051,1.000204232,0.993597034,1.006855
Male,-0.000324038,0.002968251,0.999578839,0.992047437,1.007167,0.000230308,0.000336332,1.002975391,0.994482433,1.011541,-0.000413978,0.000281237,0.99257609,0.982776406,1.002473,-0.000676799,0.00133242,0.99851215,0.992791752,1.004266
Warm All,-0.002691059,0.002652205,0.996507735,0.98979622,1.003265,-0.000831379,0.000420745,0.989332516,0.978863665,0.999913,8.43E-05,0.000238155,1.001518792,0.993139175,1.009969,-0.004398019,0.001281541,0.990371017,0.984913315,0.995859
Warm Female,0.000184444,0.003447968,1.000239806,0.991490765,1.009066,-0.000376099,0.000546822,0.995160073,0.98149582,1.009015,0.000259255,0.000309323,1.004677495,0.993773142,1.015701,-0.004554427,0.001674231,0.990030291,0.982908718,0.997203
Warm Male,-0.004583365,0.003037402,0.994059341,0.986395711,1.001783,-0.001133357,0.000482037,0.985486052,0.973548019,0.997570,-2.96E-05,0.000272934,0.999467351,0.989889555,1.009138,-0.004308958,0.001464695,0.990565083,0.984328622,0.996841
Cold All,0.006962343,0.002523834,1.00909213,1.002623753,1.015602,0.000840943,0.000233319,1.010907219,1.004961193,1.016888,-0.000720629,0.00025361,0.987112443,0.978319786,0.995984,0.00272122,0.001062034,1.00600464,1.001408184,1.010622
Cold Female,0.011372794,0.00341045,1.014894465,1.006113417,1.023752,0.001028209,0.000314873,1.013352252,1.005316731,1.021452,-0.000400371,0.000342439,0.992819228,0.980896896,1.004886,0.003372181,0.001430627,1.007446386,1.001250716,1.013680
Cold Male,0.004050245,0.00290649,1.005279205,0.997861871,1.012752,0.000718523,0.00026913,1.009312036,1.002467303,1.016204,-0.000937329,0.000292127,0.983269612,0.97318784,0.993456,0.002284358,0.001225533,1.005038237,0.999741123,1.010363
Age 0-10 All,0.008364023,0.005351926,1.010932558,0.997240337,1.024813,0.000827937,0.000613654,1.010737626,0.995176431,1.026542,9.28E-05,0.000500085,1.001671738,0.98415423,1.019501,-0.000421314,0.002391156,0.999073539,0.98882535,1.009428
Age 0-10 Female,0.017307424,0.007501954,1.022754677,1.003390407,1.042493,0.001514585,0.000859744,1.019730265,0.997802797,1.042140,0.000589604,0.000700365,1.010669388,0.986002878,1.035953,0.001558218,0.00335785,1.003433962,0.989009868,1.018068
Age 0-10 Male,0.001657255,0.006654779,1.002156754,0.985307065,1.019295,0.00031435,0.000763417,1.004063348,0.984868528,1.023632,-0.000283091,0.000622083,0.994917323,0.973319654,1.016994,-0.001913338,0.002968952,0.995799503,0.983132413,1.008630
Age 11-60 All,0.00190611,0.002777779,1.002481016,0.995410725,1.009602,0.000382079,0.000313365,1.004940986,0.997010177,1.012935,-0.000250591,0.000263389,0.99549952,0.986291823,1.004793,-0.000688855,0.001246798,0.998485667,0.993132019,1.003868
Age 11-60 Female,0.006612003,0.003878166,1.008632652,0.998714863,1.018649,0.000764331,0.000435677,1.009908639,0.99884488,1.021095,1.76E-05,0.000367553,1.000316989,0.987429348,1.013373,-0.000506544,0.001739806,0.998886224,0.991420575,1.006408
Age 11-60 Male,-0.000827966,0.003202791,0.998924223,0.990805463,1.007110,0.000157481,0.000362298,1.00203357,0.992896512,1.011255,-0.000408135,0.000303792,0.992680489,0.982097968,1.003377,-0.000793848,0.001438263,0.998255059,0.992083248,1.004465
Age 60+All,-0.004090836,0.006131746,0.994696029,0.979275981,1.010359,0.000189242,0.000690773,1.002444204,0.985088019,1.020106,-0.000798422,0.000587425,0.985731182,0.965512771,1.006373,0.002219417,0.002763624,1.004894657,0.992990652,1.016941
Age 60+ Female,-0.008184415,0.007796558,0.989416662,0.969955224,1.009269,-0.000324728,0.000876596,0.99581977,0.973991362,1.018137,-0.000824832,0.000744763,0.985262697,0.959711832,1.011494,0.001497397,0.003505309,1.003299705,0.98824897,1.018580
Age 60+ Male,0.001707322,0.00884907,1.002221984,0.979877307,1.025076,0.000923896,0.000999588,1.011989564,0.986733462,1.037892,-0.000755271,0.000851586,0.986497115,0.957299641,1.016585,0.003243541,0.004003291,1.007161311,0.989924699,1.024698
All: LAG 10,-0.000784976,0.002601694,0.998980052,0.992379599,1.005624,0.00011226,0.000294882,1.001449203,0.994010367,1.008944,-0.000422331,0.000245035,0.992426864,0.983884474,1.001043,0.000212548,0.001165721,1.000467715,0.995451393,1.005509
Female,-0.001442205,0.003441323,0.99812689,0.989413083,1.006917,0.000226686,0.000388462,1.002928529,0.99312611,1.012828,-0.000643919,0.000323429,0.98847637,0.977261392,0.999820,0.00049072,0.001541826,1.001080167,0.994446707,1.007758
Male,-0.000335046,0.002985073,0.999564535,0.991990721,1.007196,3.54E-05,0.000339255,1.000456698,0.991911758,1.009075,-0.000271571,0.000281607,0.99512365,0.985285952,1.005060,1.93E-05,0.001337554,1.000042462,0.994291285,1.005827
Warm All,-0.004681052,0.002653744,0.993933111,0.987235065,1.000677,-0.000767851,0.000422058,0.990143618,0.979633661,1.000766,-0.000174778,0.000239271,0.996858939,0.988479391,1.005310,-0.001140107,0.001273989,0.997494908,0.992030252,1.002990
Warm Female,-0.006938745,0.003445781,0.991020193,0.98235727,0.999760,-0.000797179,0.000548817,0.989769086,0.976129616,1.003599,-0.000446849,0.000310397,0.991988979,0.981185163,1.002912,-0.001428755,0.001660618,0.996861674,0.989749057,1.004025
Warm Male,-0.003170974,0.003035996,0.995886219,0.988212045,1.003620,-0.000748518,0.000482423,0.990390586,0.978383592,1.002545,9.08E-06,0.000273816,1.000163394,0.990548105,1.009872,-0.000970093,0.00145359,0.997868071,0.991633114,1.004142
Cold All,0.00319674,0.002549302,1.004164409,0.997662876,1.010708,0.000416747,0.000235752,1.005390513,0.999415454,1.011401,-0.00077732,0.000251882,0.98610567,0.977381564,0.994908,0.001399964,0.001075373,1.003084669,0.998444124,1.007747
Cold Female,0.003840481,0.003443674,1.005005109,0.996225286,1.013862,0.000539227,0.000317179,1.006980278,0.99893704,1.015088,-0.000943927,0.000338866,0.983152842,0.97146904,0.994977,0.001853172,0.001449365,1.004085301,0.997829675,1.010380
Cold Male,0.002767911,0.002937332,1.003604766,0.996121503,1.011144,0.000333169,0.000272417,1.004307129,0.99741344,1.011248,-0.000662248,0.000291256,0.988150303,0.978048543,0.998356,0.001087336,0.001241005,1.002395003,0.997045299,1.007773
Age 0-10 All,0.003587427,0.005365893,1.004674547,0.991031816,1.018505,0.000227462,0.000618269,1.002938569,0.987382227,1.018740,-8.74E-05,0.000500026,0.9984282,0.980969458,1.016198,0.00061346,0.002392914,1.001350523,0.991071465,1.011736
Age 0-10 Female,0.011526444,0.007540324,1.015097206,0.995780559,1.034789,0.000872122,0.000865244,1.011313897,0.989429806,1.033682,0.000427313,0.000699444,1.007721291,0.983158677,1.032898,0.004090761,0.003340368,1.009040293,0.994610583,1.023679
Age 0-10 Male,-0.00231117,0.006657164,0.996999988,0.980231045,1.014056,-0.000259568,0.000769441,0.996657173,0.977455049,1.016237,-0.000474859,0.000622533,0.991488964,0.969950319,1.013506,-0.002066703,0.00298341,0.995463574,0.982739489,1.008352
Age 11-60 All,-0.00046294,0.002792313,0.999398359,0.992313061,1.006534,0.000179067,0.000315565,1.002312634,0.994347256,1.010342,-0.000437679,0.000263183,0.99215273,0.982983132,1.001408,-0.000429399,0.001251452,0.999055768,0.993679123,1.004462
Age 11-60 Female,-0.00153915,0.003891775,0.998001105,0.98815359,1.007947,0.000382051,0.000437759,1.004940623,0.99387897,1.016125,-0.000835958,0.000365884,0.9850654,0.972431511,0.997863,-0.000800927,0.001745027,0.998239512,0.990756391,1.005779
Age 11-60 Male,0.000180212,0.003219145,1.000234303,0.992063555,1.008472,6.02E-05,0.000364816,1.000777526,0.99158879,1.010051,-0.000202379,0.000303923,0.996363805,0.985737462,1.007105,-0.000210513,0.001442372,0.999536979,0.993339642,1.005773
Age 60+All,-0.009195612,0.006158441,0.988116873,0.97273265,1.003744,-0.000543107,0.000697626,0.993018405,0.975656349,1.010689,-0.000797112,0.000586442,0.985754426,0.965569024,1.006362,0.004588244,0.002771271,1.010145254,0.998146137,1.022289
Age 60+ Female,-0.014071318,0.007817115,0.981873583,0.962510097,1.001627,-0.001140582,0.000882819,0.985394207,0.963642693,1.007637,-0.000872968,0.000744454,0.984409388,0.958891105,1.010607,0.003023571,0.003530239,1.006674029,0.991466088,1.022115
Age 60+ Male,-0.002236646,0.008899488,0.997096583,0.97474095,1.019965,0.000321529,0.001012302,1.004156338,0.978781039,1.030190,-0.000688818,0.000847413,0.987677823,0.95858652,1.017652,0.006774847,0.003985399,1.015016292,0.997722221,1.032610
All: LAG 11,-0.001009586,0.002611661,0.998688399,0.992064678,1.005356,8.08E-05,0.000295179,1.001043138,0.993599858,1.008542,-0.000345556,0.000246049,0.993799296,0.985209848,1.002464,-0.000328279,0.001164738,0.999278047,0.994271904,1.004309
Female,-0.000172022,0.003450469,0.999776396,0.991025093,1.008605,0.000353574,0.000388416,1.004571522,0.994754202,1.014486,-0.000457937,0.000324889,0.991791013,0.980487924,1.003224,-0.000616634,0.001540226,0.998644325,0.99203385,1.005299
Male,-0.001581264,0.002991028,0.997946468,0.990369887,1.005581,-0.000104917,0.000338941,0.998647486,0.990125859,1.007242,-0.000270394,0.00028195,0.995144733,0.985294904,1.005093,-0.000145239,0.001333146,0.999680525,0.993950322,1.005444
Warm All,-0.006507313,0.002659531,0.991576174,0.984879489,0.998318,-0.001296949,0.000420576,0.983408538,0.97300653,0.993922,-0.000224194,0.000241452,0.99597264,0.987524553,1.004493,-0.002585977,0.00127502,0.994327003,0.988875307,0.999809
Warm Female,-0.003299579,0.003457498,0.995719734,0.986986263,1.004530,-0.000657916,0.000546924,0.991548797,0.977931607,1.005356,-0.000141261,0.000313685,0.997460532,0.986482686,1.008561,-0.00292062,0.00166129,0.993595235,0.986503065,1.000738
Warm Male,-0.008650332,0.00302813,0.988817562,0.981217524,0.996476,-0.001722536,0.000478859,0.978024347,0.966254342,0.989938,-0.000280743,0.00027499,0.994959373,0.985353301,1.004659,-0.00238098,0.001449806,0.994775539,0.988576035,1.001014
Cold All,0.004756135,0.002563903,1.00620213,0.999650212,1.012797,0.000556236,0.000236198,1.00720125,1.001204139,1.013234,-0.000492502,0.000251663,0.991174143,0.982412786,1.000014,0.001830222,0.001070815,1.004034606,0.999409309,1.008681
Cold Female,0.002954018,0.003458238,1.003847607,0.99504097,1.012732,0.000668614,0.000317497,1.008662424,1.000597705,1.016792,-0.000823857,0.000338365,0.985279988,0.973588116,0.997112,0.001502148,0.001444646,1.003310192,0.997079684,1.009580
Cold Male,0.005967325,0.002956578,1.00778769,1.000224187,1.015408,0.000478831,0.000273112,1.006196036,0.999271821,1.013168,-0.00026539,0.000290826,0.995234372,0.985075135,1.005498,0.002045331,0.001234688,1.004509867,0.999176093,1.009872
Age 0-10 All,0.006136916,0.005391553,1.0080099,0.994256869,1.021953,0.000568713,0.000618635,1.007363375,0.991729223,1.023244,0.000518347,0.000502812,1.009373908,0.991626295,1.027439,0.000132557,0.002392842,1.000291668,0.990023787,1.010666
Age 0-10 Female,0.015477857,0.007553951,1.02032501,1.000874129,1.040154,0.001259408,0.00086533,1.016379053,0.994383193,1.038861,0.001100809,0.000701597,1.020012173,0.995074391,1.045575,-0.000447953,0.003343684,0.999014989,0.984714565,1.013523
Age 0-10 Male,-0.000936826,0.006702241,0.998782868,0.981871157,1.015986,4.22E-05,0.000770092,1.000544282,0.981251116,1.020217,7.07E-05,0.000627122,1.001272648,0.979362895,1.023673,0.000570288,0.002981162,1.001255421,0.988466885,1.014209
Age 11-60 All,-0.002154625,0.002800744,0.997202907,0.990111904,1.004345,-5.36E-05,0.000315877,0.99930934,0.991360009,1.007322,-0.000519166,0.000264057,0.990698541,0.981512118,0.999971,-0.001040747,0.001249151,0.997712976,0.992353403,1.003101
Age 11-60 Female,-0.002122266,0.003903573,0.997244857,0.987375121,1.007213,0.000218116,0.00043814,1.002817659,0.99176982,1.013989,-0.000834186,0.000368058,0.98509682,0.972387945,0.997972,-0.001942305,0.001744134,0.995736046,0.988275497,1.003253
Age 11-60 Male,-0.002189184,0.003222859,0.997158107,0.989003129,1.005380,-0.000217376,0.000364479,0.997199778,0.98805231,1.006432,-0.000334773,0.000303927,0.993992205,0.983391017,1.004708,-0.000529662,0.001435913,0.998835422,0.992670083,1.005039
Age 60+All,-0.001866143,0.006177154,0.997576954,0.981998622,1.013402,0.000461493,0.0006953,1.005971016,0.988440623,1.023812,-0.000232319,0.000586335,0.995826989,0.975439012,1.016641,0.004547611,0.002770715,1.010054959,0.998059307,1.022195
Age 60+ Female,-0.00670393,0.007830314,0.991322757,0.971740244,1.011300,0.000112564,0.000879527,1.00145313,0.979428652,1.023973,-0.000301645,0.000741936,0.994585104,0.968889109,1.020963,0.005556621,0.003508523,1.012299592,0.997100028,1.027731
Age 60+ Male,0.005030681,0.008927424,1.006561317,0.983923439,1.029720,0.000967174,0.001008225,1.012554701,0.987068918,1.038699,-0.000145733,0.000849635,0.997380244,0.967927282,1.027729,0.003041655,0.004012441,1.00671408,0.989446083,1.024283
All: LAG 12,0.000285147,0.002617881,1.00037076,0.993720132,1.007066,0.000353967,0.000296666,1.004576615,0.997069573,1.012140,-0.000489295,0.000246786,0.991231361,0.982638557,0.999899,0.001906475,0.001155372,1.004203053,0.999212591,1.009218
Female,0.000257929,0.003458739,1.000335364,0.991558274,1.009190,0.000511848,0.000390351,1.006624686,0.996738535,1.016609,-0.000601566,0.000325737,0.989230226,0.977927063,1.000664,0.001781121,0.001529507,1.003926153,0.997326811,1.010569
Male,0.000308174,0.003003822,1.000400706,0.992773128,1.008087,0.000248482,0.000341384,1.003210561,0.99458856,1.011907,-0.000414533,0.00028346,0.992566175,0.982689515,1.002542,0.001994421,0.001324329,1.004397366,0.998678094,1.010149
Warm All,-0.006893862,0.002659127,0.991078019,0.984385711,0.997816,-0.001211735,0.00042089,0.984490154,0.974068972,0.995023,-0.0001963,0.000241601,0.996472835,0.988015312,1.005003,0.000914886,0.001254482,1.002014776,0.996609185,1.007450
Warm Female,-0.000669976,0.00345024,0.99912941,0.990384349,1.007952,-0.00036714,0.000546611,0.995275092,0.981614495,1.009126,0.00023155,0.000313177,1.004176598,0.993142635,1.015333,0.001065331,0.00163393,1.002346477,0.995309258,1.009433
Warm Male,-0.01100809,0.003037247,0.985791392,0.978191889,0.993450,-0.001769797,0.000480573,0.97742826,0.96562358,0.989377,-0.000479,0.000276112,0.991415063,0.981804345,1.001120,0.000808106,0.001429853,1.001779414,0.995621919,1.007975
Cold All,0.00776426,0.002577419,1.01014465,1.003532499,1.016800,0.000888287,0.000237291,1.011524807,1.005474165,1.017612,-0.000837413,0.000253427,0.985039602,0.976271711,0.993886,0.003295651,0.001067361,1.00727678,1.002651481,1.011923
Cold Female,0.000805647,0.003487275,1.00104789,0.992192403,1.009982,0.000758954,0.000319724,1.00983859,1.001708062,1.018035,-0.001587372,0.000340652,0.971831643,0.960221878,0.983582,0.002905314,0.001444225,1.006412161,1.000164206,1.012699
Cold Male,0.01244783,0.002969635,1.01631382,1.00865277,1.024033,0.000978166,0.000274608,1.012698289,1.005691287,1.019754,-0.000330678,0.000293479,0.994065475,0.983826082,1.004411,0.003571385,0.001231245,1.007887995,1.002551167,1.013253
Age 0-10 All,0.011336021,0.005410656,1.01484595,1.000950928,1.028934,0.001517102,0.00062292,1.019763376,1.003828015,1.035952,0.000218369,0.000503424,1.003938377,0.986265041,1.021928,0.000479687,0.002381414,1.001055868,0.990828967,1.011388
Age 0-10 Female,0.026950851,0.007549394,1.035657102,1.015925734,1.055772,0.002955682,0.000868508,1.038864508,1.016300366,1.061930,0.001128764,0.000701473,1.020525563,0.995579583,1.046097,0.001291118,0.003342385,1.002844498,0.988494792,1.017403
Age 0-10 Male,-0.00047126,0.006740328,0.99938755,0.982370261,1.016700,0.000429445,0.000776917,1.005555214,0.985995263,1.025503,-0.000484597,0.000627772,0.991315187,0.969601087,1.013516,-0.000100306,0.002954512,0.999779351,0.987123097,1.012598
Age 11-60 All,-0.000991963,0.002806166,0.998711279,0.991595851,1.005878,0.000171344,0.000317383,1.002212782,0.994202497,1.010288,-0.000572071,0.000264905,0.989755557,0.980548543,0.999049,0.002230348,0.001237709,1.004918823,0.999569857,1.010296
Age 11-60 Female,-0.002742826,0.003912717,0.996440676,0.986555913,1.006424,0.000186746,0.00044043,1.002411927,0.991311159,1.013637,-0.000794323,0.000369007,0.985803914,0.973053337,0.998722,0.001673103,0.001729551,1.003687609,0.996230127,1.011201
Age 11-60 Male,3.16E-05,0.003233405,1.000041063,0.991835855,1.008314,0.000160982,0.000366758,1.002078826,0.992829391,1.011414,-0.000440551,0.000305554,0.992101441,0.98146408,1.002854,0.002554508,0.001424806,1.005635739,0.999476291,1.011833
Age 60+All,-0.005128147,0.00619205,0.993355581,0.977806057,1.009152,0.000193727,0.00069816,1.002502204,0.984961033,1.020356,-0.000870543,0.000589149,0.984452358,0.96420153,1.005129,0.001349997,0.002759892,1.002974408,0.991109099,1.014982
Age 60+ Female,-0.012434184,0.007855113,0.983965504,0.964467381,1.003858,-0.000319514,0.000882955,0.995886752,0.973900278,1.018370,-0.001520685,0.000746659,0.972998897,0.947702675,0.998970,0.002802629,0.003487851,1.006184831,0.991165427,1.021432
Age 60+ Male,0.005311531,0.008936169,1.006928885,0.984260808,1.030119,0.000942369,0.001012414,1.012230751,0.986648616,1.038476,5.61E-05,0.000851687,1.001010398,0.971379912,1.031545,-0.000747156,0.004006725,0.998357607,0.981257132,1.015756
All: LAG 13,-0.003016362,0.002628346,0.996086408,0.989437879,1.002780,-0.000273126,0.000298091,0.996482874,0.989000682,1.004022,-0.000273375,0.000246769,0.995091337,0.986465664,1.003792,0.003014923,0.001157936,1.006654877,1.001641156,1.011694
Female,-0.003372413,0.00346892,0.995625459,0.986864094,1.004465,-0.000156502,0.000392204,0.997983161,0.988135582,1.007929,-0.000336537,0.000325186,0.993960645,0.982622532,1.005430,0.003715889,0.001525528,1.008208462,1.001598155,1.014862
Male,-0.002769092,0.003019369,0.996406652,0.988770357,1.004102,-0.000350763,0.000343118,0.995485379,0.986886503,1.004159,-0.000230138,0.000283766,0.995866084,0.985945945,1.005886,0.002548756,0.00133257,1.005623013,0.999861231,1.011418
Warm All,-0.004883178,0.002644034,0.993671975,0.987000108,1.000389,-0.001492215,0.000413106,0.980934516,0.970742006,0.991234,0.000145679,0.000241262,1.002625663,0.994127808,1.011196,0.002863404,0.001251068,1.006319372,1.000905293,1.011763
Warm Female,-0.001705062,0.003425614,0.997785874,0.989114634,1.006533,-0.001075685,0.000536702,0.986219496,0.972926918,0.999694,0.000417996,0.000312365,1.007552304,0.996509796,1.018717,0.00490914,0.001618044,1.01085864,1.00383042,1.017936
Warm Male,-0.006967569,0.003024569,0.990983059,0.9833753,0.998650,-0.001762798,0.000472096,0.977516513,0.965917773,0.989255,-3.31E-05,0.000276064,0.999403543,0.989717062,1.009185,0.001514398,0.001433051,1.003337232,0.99715641,1.009556
Cold All,-0.001111627,0.002626779,0.998555929,0.991894877,1.005262,0.000159938,0.000241396,1.00206533,0.995967895,1.008200,-0.000808072,0.000254566,0.985559976,0.976748203,0.994451,0.003422823,0.001075962,1.007558634,1.002894844,1.012244
Cold Female,-0.005126773,0.003543737,0.993357356,0.984428266,1.002367,0.000164387,0.00032464,1.002122842,0.993930886,1.010382,-0.001214124,0.000341987,0.978382842,0.966649285,0.990259,0.00301848,0.001450381,1.006662754,1.000386688,1.012978
Cold Male,0.001586866,0.003030003,1.002065055,0.994358452,1.009831,0.000157555,0.000279109,1.002034526,0.994988069,1.009131,-0.000532635,0.000294782,0.990458383,0.980211084,1.000813,0.003701542,0.001243454,1.00817664,1.002785491,1.013597
Age 0-10 All,0.000207215,0.005433665,1.000269416,0.986516134,1.014214,0.000194588,0.000625696,1.002513338,0.986778273,1.018499,-0.00021305,0.000503749,0.996172444,0.978624598,1.014035,2.36E-05,0.00238344,1.000051963,0.989826671,1.010383
Age 0-10 Female,0.001742935,0.007599214,1.002268384,0.983048342,1.021864,0.001129756,0.000871928,1.014680569,0.992555871,1.037298,-0.000977159,0.000703,0.982564919,0.958495221,1.007239,0.002500028,0.003317046,1.005515215,0.991235593,1.020001
Age 0-10 Male,-0.000985325,0.006746558,0.998719898,0.981698394,1.016037,-0.000521216,0.000778843,0.993298867,0.973929896,1.013053,0.00037185,0.000626386,1.00671575,0.984712461,1.029211,-0.001833965,0.00297024,0.995973406,0.983298642,1.008812
Age 11-60 All,-0.003328029,0.002816494,0.995682908,0.988563041,1.002854,-0.000355571,0.000318677,0.995423638,0.987435308,1.003477,-0.000279261,0.000264784,0.994985915,0.985734454,1.004324,0.003884327,0.001239334,1.008582137,1.003206642,1.013986
Age 11-60 Female,-0.003249094,0.003925841,0.995785086,0.985873859,1.005796,-0.00028746,0.000442605,0.996298633,0.985211383,1.007511,-0.000206971,0.000368578,0.996281453,0.983410241,1.009321,0.004461959,0.001725437,1.009864648,1.002379051,1.017406
Age 11-60 Male,-0.003371067,0.003247976,0.995627202,0.987421548,1.003901,-0.000396297,0.000368263,0.994900814,0.985680126,1.004208,-0.000320812,0.000305574,0.994242025,0.983581019,1.005019,0.003545008,0.001431525,1.007829509,1.001627605,1.014070
Age 60+All,-0.004997098,0.006216039,0.993524827,0.977912878,1.009386,-0.000266496,0.000702375,0.996568104,0.979026422,1.014424,-0.000311943,0.000588239,0.994400761,0.973976556,1.015253,0.000442094,0.002776164,1.00097308,0.989062047,1.013028
Age 60+ Female,-0.00910888,0.007873799,0.988228291,0.968599579,1.008255,-0.000799382,0.000888144,0.989740959,0.967763189,1.012218,-0.000272929,0.000743142,0.995099326,0.969348801,1.021534,0.001316329,0.003502761,1.002900121,0.987866233,1.018163
Age 60+ Male,0.000893836,0.008997033,1.001162662,0.97847264,1.024379,0.00050733,0.001019194,1.006566019,0.980958873,1.032842,-0.00037501,0.000854739,0.993272551,0.96376733,1.023681,-0.000844667,0.004041075,0.998143458,0.980901352,1.015689
All: LAG 14,-0.000852997,0.0026372,0.998891718,0.992202081,1.005626,-0.000251041,0.000299562,0.996766809,0.989245691,1.004345,0.000115976,0.000247251,1.002089748,0.993386519,1.010869,0.002563691,0.001165854,1.005656056,1.000613146,1.010724
Female,6.81E-05,0.003482021,1.000088573,0.991254843,1.009001,-4.19E-05,0.000394237,0.999459105,0.989546096,1.009471,0.000124628,0.000326227,1.002245822,0.990776812,1.013848,0.003173687,0.001536985,1.007006543,1.000354695,1.013703
Male,-0.001458453,0.003028447,0.998105807,0.99043358,1.005837,-0.000389976,0.00034475,0.994981942,0.986346714,1.003693,0.000109712,0.000284079,1.001976767,0.991984803,1.012069,0.002157177,0.001340895,1.004757068,0.998964387,1.010583
Warm All,-0.002486306,0.002629976,0.99677302,0.990115796,1.003475,-0.001437104,0.000408539,0.981632142,0.971544562,0.991824,0.000486434,0.00024174,1.008794256,1.000227251,1.017435,2.10E-05,0.001266859,1.000046289,0.994598235,1.005524
Warm Female,0.001328749,0.003407432,1.001728866,0.993069365,1.010464,-0.000703436,0.000530607,0.990966723,0.977760827,1.004351,0.000629945,0.000313038,1.01140354,1.000295073,1.022635,-0.001319868,0.001644167,0.997100502,0.99005641,1.004195
Warm Male,-0.00498302,0.003005099,0.993543011,0.985964511,1.001180,-0.001915663,0.00046636,0.97559079,0.96415472,0.987163,0.000392424,0.000276491,1.007088638,0.997312647,1.016960,0.00089873,0.001445963,1.001979162,0.995751265,1.008246
Cold All,0.000315407,0.002662661,1.000410113,0.993645842,1.007220,0.000186109,0.000243912,1.00240369,0.996240819,1.008605,-0.000462763,0.000255016,0.991704862,0.982822546,1.000667,0.004648195,0.001076888,1.010278494,1.005598099,1.014981
Cold Female,-0.002005803,0.003595048,0.997395853,0.988301243,1.006574,0.000155824,0.000328478,1.002012151,0.993724665,1.010369,-0.000547071,0.000343959,0.990201048,0.978257695,1.002290,0.006810183,0.001449018,1.015095201,1.008772492,1.021458
Cold Male,0.001896887,0.00307093,1.002468996,0.994655556,1.010344,0.000208917,0.000281842,1.002698664,0.995578739,1.009870,-0.000407517,0.000294433,0.992691532,0.982433225,1.003057,0.003180129,0.001247385,1.007020815,1.001618869,1.012452
Age 0-10 All,0.00176602,0.00542794,1.002298463,0.988531703,1.016257,2.50E-05,0.00062657,1.000321978,0.984599549,1.016295,0.000302945,0.000502157,1.005467905,0.987811796,1.023440,-0.000366929,0.002405268,0.999193082,0.988883491,1.009610
Age 0-10 Female,0.006265686,0.007562273,1.008178656,0.988938355,1.027793,0.000364676,0.000872787,1.004715403,0.982786646,1.027133,0.000805945,0.000699536,1.014612747,0.989878946,1.039965,-0.000693022,0.00335534,0.998476513,0.984134332,1.013028
Age 0-10 Male,-0.001736141,0.006772397,0.997745562,0.980676096,1.015112,-0.000232425,0.000781901,0.997006208,0.977489365,1.016913,-9.37E-05,0.000626571,0.998315258,0.976489201,1.020629,-7.55E-05,0.002998235,0.999833947,0.986990904,1.012844
Age 11-60 All,-0.001674836,0.002829248,0.997825082,0.990657702,1.005044,-0.000439661,0.000320561,0.994344426,0.986317773,1.002436,0.000166911,0.000265436,1.003008916,0.993659999,1.012446,0.002865805,0.001248793,1.006324688,1.000920399,1.011758
Age 11-60 Female,-0.00229658,0.003947797,0.997018898,0.987040171,1.007099,-0.000329368,0.000445355,0.995760166,0.984610445,1.007036,3.71E-05,0.000370026,1.000667929,0.98768959,1.013817,0.003634054,0.001737171,1.008026964,1.000504365,1.015606
Age 11-60 Male,-0.001306549,0.00325805,0.998302928,0.990049809,1.006625,-0.000504117,0.000370121,0.99351799,0.984263879,1.002859,0.000242999,0.000305833,1.004383562,0.993604731,1.015279,0.002415845,0.001441413,1.005329008,0.999099891,1.011597
Age 60+All,0.001803507,0.006217705,1.00234731,0.986592538,1.018354,0.000818928,0.000703265,1.010620169,0.9928088,1.028751,-0.000575447,0.000591074,0.989695414,0.969270903,1.010550,0.004352531,0.002776742,1.009621561,0.997605129,1.021783
Age 60+ Female,0.004797675,0.007877038,1.006256468,0.986261531,1.026657,0.000920663,0.000889415,1.011947359,0.989444686,1.034962,-0.000208298,0.000746522,0.996257656,0.970361438,1.022845,0.005040102,0.003514418,1.011149927,0.995942309,1.026590
