Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Female,0.008645928,0.004409432,1.008683412,1.000003441,1.017439,0.031811055,0.008350972,1.012805722,1.006196379,1.01945848,-0.001146603,0.000478833,0.984075712,0.97123034,0.997091,0.000775971,0.00054007,1.007086326,0.997431951,1.016834
Male,0.004836133,0.003853434,1.004847846,0.997287089,1.012466,0.023993778,0.007325898,1.009643715,1.003861443,1.015459293,-0.001421451,0.000417948,0.98029639,0.96911809,0.991604,0.000662734,0.000460999,1.006049102,0.997810901,1.014355
Warm All,-0.007307942,0.004017994,0.992718696,0.984931474,1.000567,0.01434905,0.01316044,1.005756123,0.995432299,1.016187018,-0.000915385,0.000393488,0.987266377,0.976663898,0.997984,-3.79E-05,0.000472603,0.999655605,0.991264576,1.008118
Warm Female,-0.004012656,0.005219825,0.995995384,0.985857446,1.006238,0.0154541,0.01717201,1.006200786,0.992745228,1.019838719,-0.001317437,0.000509671,0.981724934,0.968090707,0.995551,0.000205108,0.000633784,1.001868226,0.990606707,1.013258
Warm Male,-0.009537524,0.004620024,0.990507814,0.981579008,0.999518,0.01342739,0.01508836,1.005385405,0.993562492,1.017349006,-0.000652053,0.000453468,0.990912798,0.978659106,1.003320,-0.000193159,0.000525086,0.998243797,0.988938453,1.007637
Cold All,0.01485433,0.002863974,1.014965204,1.00928377,1.020679,0.03108475,0.004631689,1.012511522,1.008841513,1.016194882,-0.001645994,0.000331907,0.977219567,0.968359919,0.986160,0.000919397,0.000349362,1.00840161,1.002137573,1.014705
Cold Female,0.01642974,0.003878734,1.01656545,1.008866498,1.024323,0.03621686,0.006269475,1.014592185,1.009617429,1.019591455,-0.001017259,0.000450313,0.985859306,0.973752402,0.998117,0.000901746,0.000478737,1.008239649,0.999667191,1.016886
Cold Male,0.0138111,0.003317664,1.013906914,1.007335251,1.020521,0.02764355,0.005376828,1.011118779,1.006865447,1.015390079,-0.002070652,0.000383553,0.971427026,0.961256667,0.981705,0.000930873,0.000417405,1.008506924,1.001026635,1.016043
Age 0-10 All,-0.009405478,0.007100231,0.990638615,0.976947924,1.004521,0.008745815,0.013396499,1.003504452,0.993019945,1.014099657,5.04E-05,0.000750212,1.000706061,0.980316298,1.021520,-0.000343349,0.000872802,0.9968804,0.981481835,1.012521
Age 0-10 Female,-0.005234929,0.009946766,0.994778749,0.975572705,1.014363,0.0206208,0.01866046,1.008282431,0.993638838,1.023141832,-0.000133324,0.001046271,0.998135205,0.969886512,1.027207,-0.000928594,0.001253098,0.991585397,0.96966904,1.013997
Age 0-10 Male,-0.012542412,0.008822407,0.987535916,0.970606321,1.004761,-0.000319272,0.016717507,0.999872299,0.986852953,1.013063407,0.000181949,0.000935284,1.002550533,0.977148242,1.028613,7.69E-05,0.001097613,1.000700269,0.981300053,1.020484
